time: 2021-01-22 16:44:48,296---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-22 16:47:40,304---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-22 16:48:24,684---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-22 16:51:30,040---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-22 16:53:24,558---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-22 16:53:33,722---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-23 18:09:54,414---ERROR:root:用例失败：assert 1 == 2---test_register.py---33
time: 2021-01-23 18:13:33,719---ERROR:root:用例失败：assert 1005 == 1---test_register.py---39
time: 2021-01-23 18:13:33,918---ERROR:root:用例失败：assert 1005 == 20103---test_register.py---39
time: 2021-01-23 18:13:33,964---ERROR:root:用例失败：assert 1005 == 20103---test_register.py---39
time: 2021-01-23 18:13:34,012---ERROR:root:用例失败：assert 1005 == 20108---test_register.py---39
time: 2021-01-23 18:13:34,057---ERROR:root:用例失败：assert 1005 == 20110---test_register.py---39
time: 2021-01-23 18:13:34,102---ERROR:root:用例失败：assert 1005 == 20109---test_register.py---39
time: 2021-01-23 18:19:28,257---ERROR:root:用例失败：assert 1 == 0---test_register.py---39
time: 2021-01-23 18:19:28,484---ERROR:root:用例失败：assert 1 == 2---test_register.py---39
time: 2021-01-23 18:19:28,526---ERROR:root:用例失败：assert 1 == 2---test_register.py---39
time: 2021-01-23 18:19:28,572---ERROR:root:用例失败：assert 1 == 2---test_register.py---39
time: 2021-01-23 18:20:57,216---ERROR:root:用例失败：assert 2 == 0---test_register.py---39
time: 2021-01-23 18:20:57,584---ERROR:root:用例失败：assert 0 == 2---test_register.py---39
time: 2021-01-23 18:22:43,840---ERROR:root:用例失败：assert 2 == 0---test_register.py---39
time: 2021-01-23 18:23:45,221---ERROR:root:用例失败：assert 2 == 0---test_register.py---39
time: 2021-01-23 18:24:37,336---ERROR:root:用例失败：assert 2 == 0---test_register.py---40
time: 2021-01-26 11:42:24,298---ERROR:root:用例失败：assert 1006 == 0---test_register.py---47
time: 2021-01-26 11:42:24,443---ERROR:root:用例失败：assert 1006 == 1---test_register.py---47
time: 2021-01-26 11:42:24,549---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:24,647---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:24,752---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:24,861---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:24,960---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,074---ERROR:root:用例失败：assert 1006 == 1---test_register.py---47
time: 2021-01-26 11:42:25,166---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,263---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,359---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,464---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,561---ERROR:root:用例失败：assert 1006 == 1---test_register.py---47
time: 2021-01-26 11:42:25,629---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,711---ERROR:root:用例失败：assert 1006 == 0---test_register.py---47
time: 2021-01-26 11:42:25,787---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:25,877---ERROR:root:用例失败：assert 1006 == 1---test_register.py---47
time: 2021-01-26 11:42:25,970---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:42:26,053---ERROR:root:用例失败：assert 1006 == 2---test_register.py---47
time: 2021-01-26 11:52:41,386---ERROR:root:用例失败：assert 0 == 2---test_register.py---47
time: 2021-01-26 11:52:41,834---ERROR:root:用例失败：assert 0 == 2---test_register.py---47
time: 2021-01-26 11:52:42,004---ERROR:root:用例失败：assert 0 == 2---test_register.py---47
